Country,Region,Rank,Score,GDP,Family,Health,Freedom,Corruption,Year
"Norway,"""",""1"",""7.5370001792908"",""1.6164631843567"",""1.5335235595703"",""0.79666650295258"",""0.63542258739471"",""0.31596383452415"",""2017"""
"Denmark,"""",""2"",""7.521999835968"",""1.4823830127716"",""1.5511215925217"",""0.79256552457809"",""0.62600672245026"",""0.40077006816864"",""2017"""
"Iceland,"""",""3"",""7.5040001869202"",""1.480633020401"",""1.6105740070343"",""0.83355212211609"",""0.62716263532639"",""0.15352655947208"",""2017"""
"Switzerland,"""",""4"",""7.4939999580383"",""1.5649795532227"",""1.5169117450714"",""0.85813128948212"",""0.62007057666779"",""0.36700728535652"",""2017"""
"Finland,"""",""5"",""7.4689998626709"",""1.4435719251633"",""1.5402467250824"",""0.80915766954422"",""0.61795085668564"",""0.38261154294014"",""2017"""
"Netherlands,"""",""6"",""7.3769998550415"",""1.5039446353912"",""1.4289392232895"",""0.81069612503052"",""0.58538448810577"",""0.28266182541847"",""2017"""
"Canada,"""",""7"",""7.3159999847412"",""1.479204416275"",""1.481348991394"",""0.83455765247345"",""0.61110091209412"",""0.28737151622772"",""2017"""
"New Zealand,"""",""8"",""7.3140001296997"",""1.4057060480118"",""1.5481951236725"",""0.81675970554352"",""0.6140621304512"",""0.38281670212746"",""2017"""
"Sweden,"""",""9"",""7.2839999198914"",""1.4943872690201"",""1.4781621694565"",""0.83087515830994"",""0.61292409896851"",""0.38439872860909"",""2017"""
"Australia,"""",""10"",""7.2839999198914"",""1.484414935112"",""1.5100419521332"",""0.84388679265976"",""0.60160738229752"",""0.30118373036385"",""2017"""
"Israel,"""",""11"",""7.2129998207092"",""1.3753824234009"",""1.3762899637222"",""0.83840399980545"",""0.40598860383034"",""0.085242100059986"",""2017"""
"Costa Rica,"""",""12"",""7.0789999961853"",""1.1097062826157"",""1.4164036512375"",""0.75950926542282"",""0.58013164997101"",""0.10010658949614"",""2017"""
"Austria,"""",""13"",""7.0060000419617"",""1.4870972633362"",""1.4599449634552"",""0.81532841920853"",""0.56776618957519"",""0.22106036543846"",""2017"""
"United States,"""",""14"",""6.9930000305176"",""1.5462592840195"",""1.4199205636978"",""0.77428662776947"",""0.50574052333832"",""0.13563878834248"",""2017"""
"Ireland,"""",""15"",""6.9770002365112"",""1.5357066392899"",""1.5582311153412"",""0.80978262424469"",""0.57311034202576"",""0.29838815331459"",""2017"""
"Germany,"""",""16"",""6.9510002136231"",""1.4879233837128"",""1.4725203514099"",""0.7989507317543"",""0.56251138448715"",""0.2767319381237"",""2017"""
"Belgium,"""",""17"",""6.8909997940064"",""1.4637807607651"",""1.4623126983643"",""0.81809186935425"",""0.53977072238922"",""0.25134313106537"",""2017"""
"Luxembourg,"""",""18"",""6.8629999160767"",""1.7419435977936"",""1.4575836658478"",""0.84508949518204"",""0.59662789106369"",""0.31883442401886"",""2017"""
"United Kingdom,"""",""19"",""6.7140002250671"",""1.441633939743"",""1.4964600801468"",""0.80533593893051"",""0.50819003582001"",""0.26542806625366"",""2017"""
"Chile,"""",""20"",""6.6519999504089"",""1.2527846097946"",""1.2840249538422"",""0.8194797039032"",""0.37689527869224"",""0.082287982106209"",""2017"""
"United Arab Emirates,"""",""21"",""6.6479997634888"",""1.6263433694839"",""1.2664102315903"",""0.72679823637009"",""0.60834527015686"",""0.32448956370354"",""2017"""
"Brazil,"""",""22"",""6.6350002288818"",""1.1073532104492"",""1.4313060045242"",""0.61655235290527"",""0.43745374679565"",""0.11109276115894"",""2017"""
"Czech Republic,"""",""23"",""6.6090002059936"",""1.352682352066"",""1.433885216713"",""0.75444400310516"",""0.49094617366791"",""0.036872927099466"",""2017"""
"Argentina,"""",""24"",""6.5989999771118"",""1.1852954626083"",""1.4404511451721"",""0.69513708353043"",""0.49451920390129"",""0.059739887714386"",""2017"""
"Mexico,"""",""25"",""6.5780000686645"",""1.1531838178635"",""1.210862159729"",""0.70997899770737"",""0.41273000836372"",""0.13277411460877"",""2017"""
"Singapore,"""",""26"",""6.5720000267029"",""1.6922776699066"",""1.3538143634796"",""0.94949239492416"",""0.54984056949616"",""0.46430778503418"",""2017"""
"Malta,"""",""27"",""6.5269999504089"",""1.343279838562"",""1.4884116649628"",""0.82194423675537"",""0.58876705169678"",""0.15306606888771"",""2017"""
"Uruguay,"""",""28"",""6.4539999961853"",""1.2175596952438"",""1.4122278690338"",""0.71921682357788"",""0.57939225435257"",""0.17806187272072"",""2017"""
"Guatemala,"""",""29"",""6.4539999961853"",""0.87200194597244"",""1.255585193634"",""0.54023998975754"",""0.53131061792374"",""0.077223278582096"",""2017"""
"Panama,"""",""30"",""6.4520001411438"",""1.2337484359741"",""1.3731925487518"",""0.70615613460541"",""0.55002683401108"",""0.070983923971653"",""2017"""
"France,"""",""31"",""6.441999912262"",""1.4309234619141"",""1.3877768516541"",""0.84446585178375"",""0.47022211551666"",""0.17250242829323"",""2017"""
"Thailand,"""",""32"",""6.4239997863769"",""1.127868771553"",""1.4257924556732"",""0.6472390294075"",""0.5802007317543"",""0.031612735241652"",""2017"""
"Taiwan Province of China,"""",""33"",""6.4219999313355"",""1.4336265325546"",""1.3845653533936"",""0.79398423433304"",""0.36146658658981"",""0.063829235732555"",""2017"""
"Spain,"""",""34"",""6.4029998779297"",""1.3843978643417"",""1.5320909023285"",""0.88896059989929"",""0.40878123044968"",""0.070914097130299"",""2017"""
"Qatar,"""",""35"",""6.375"",""1.8707656860352"",""1.2742968797684"",""0.71009808778763"",""0.60413098335266"",""0.43929925560951"",""2017"""
